Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_264_594,VDD,Metal1,363.1600,1070.1600,3.294735
FILLER_264_590,VDD,Metal1,362.1400,1069.7275,3.294735
FILLER_264_579,VDD,Metal1,354.7600,1070.1600,3.294735
FILLER_264_575,VDD,Metal1,353.7400,1069.7275,3.294735
FILLER_264_567,VDD,Metal1,350.5065,1069.5830,3.294736
FILLER_264_551,VDD,Metal1,340.3000,1069.7275,3.294739
FILLER_264_543,VDD,Metal1,337.0665,1069.5830,3.294739
FILLER_264_527,VDD,Metal1,330.4480,1069.4680,3.294739
FILLER_264_521,VDD,Metal1,323.5000,1069.7275,3.294739
FILLER_264_457,VDD,Metal1,304.7950,1069.3455,3.294739
FILLER_264_451,VDD,Metal1,284.3000,1069.7275,3.294739
FILLER_264_387,VDD,Metal1,265.5950,1069.3455,3.294739
FILLER_264_381,VDD,Metal1,245.1000,1069.7275,3.294739
FILLER_264_317,VDD,Metal1,226.3950,1069.3455,3.294739
FILLER_264_311,VDD,Metal1,205.9000,1069.7275,3.294739
FILLER_264_247,VDD,Metal1,187.1950,1069.3455,3.294739
FILLER_264_241,VDD,Metal1,166.7000,1069.7275,3.294739
FILLER_264_177,VDD,Metal1,147.9950,1069.3455,3.294739
FILLER_264_171,VDD,Metal1,127.5000,1069.7275,3.294739
FILLER_264_107,VDD,Metal1,108.7950,1069.3455,3.294739
FILLER_264_101,VDD,Metal1,88.3000,1069.7275,3.294739
FILLER_264_37,VDD,Metal1,69.5950,1069.3455,3.294739
FILLER_264_34,VDD,Metal1,49.5600,1070.1600,3.294739
FILLER_264_2,VDD,Metal1,40.9955,1069.3910,3.294739
FILLER_263_1870,VDD,Metal1,1078.0000,1062.3200,3.294691
FILLER_263_1854,VDD,Metal1,1073.5680,1063.0120,3.294691
FILLER_263_1822,VDD,Metal1,1060.1955,1063.0885,3.294691
FILLER_263_1816,VDD,Metal1,1048.7000,1062.7525,3.294691
FILLER_263_1752,VDD,Metal1,1029.9950,1063.1340,3.294691
FILLER_263_1746,VDD,Metal1,1009.5000,1062.7525,3.294691
FILLER_263_1682,VDD,Metal1,990.7950,1063.1340,3.294691
FILLER_263_1676,VDD,Metal1,970.3000,1062.7525,3.294691
FILLER_263_1612,VDD,Metal1,951.5950,1063.1340,3.294691
FILLER_263_1609,VDD,Metal1,931.5600,1062.3200,3.294691
FILLER_263_1607,VDD,Metal1,930.7200,1062.3200,3.294691
FILLER_263_1603,VDD,Metal1,929.4200,1062.7525,3.294691
FILLER_263_1571,VDD,Metal1,919.6355,1063.0885,3.294691
FILLER_263_1564,VDD,Metal1,906.3600,1062.3200,3.294691
FILLER_263_1556,VDD,Metal1,904.3465,1062.8965,3.294691
FILLER_263_1542,VDD,Metal1,895.2600,1062.7525,3.294691
FILLER_263_1538,VDD,Metal1,892.0800,1062.3200,3.294691
FILLER_263_1530,VDD,Metal1,889.7865,1062.8965,3.294691
FILLER_263_1524,VDD,Metal1,883.9600,1062.3200,3.294691
FILLER_263_1508,VDD,Metal1,877.4665,1062.8965,3.294691
FILLER_263_1492,VDD,Metal1,870.8480,1063.0120,3.294690
FILLER_263_1472,VDD,Metal1,859.6480,1063.0120,3.294690
FILLER_263_1463,VDD,Metal1,849.8000,1062.3200,3.294690
FILLER_263_1461,VDD,Metal1,848.9600,1062.3200,3.294690
FILLER_263_1457,VDD,Metal1,847.6600,1062.7525,3.294690
FILLER_263_1449,VDD,Metal1,844.4265,1062.8965,3.294690
FILLER_263_1433,VDD,Metal1,837.8080,1063.0120,3.294690
FILLER_263_1409,VDD,Metal1,824.3680,1063.0120,3.294691
FILLER_263_1402,VDD,Metal1,815.9200,1062.3200,3.294691
FILLER_263_1395,VDD,Metal1,811.7200,1062.3200,3.294691
FILLER_263_1387,VDD,Metal1,809.7065,1062.8965,3.294691
FILLER_263_1344,VDD,Metal1,792.5155,1063.0885,3.294691
FILLER_263_1332,VDD,Metal1,777.6600,1062.7525,3.294691
FILLER_263_1329,VDD,Metal1,774.7600,1062.3200,3.294691
FILLER_263_1327,VDD,Metal1,773.9200,1062.3200,3.294691
FILLER_263_1323,VDD,Metal1,772.6200,1062.7525,3.294691
FILLER_263_1315,VDD,Metal1,769.3865,1062.8965,3.294691
FILLER_263_1309,VDD,Metal1,763.5600,1062.3200,3.294692
FILLER_263_1301,VDD,Metal1,761.5465,1062.8965,3.294692
FILLER_263_1283,VDD,Metal1,749.2800,1062.3200,3.294694
FILLER_263_1267,VDD,Metal1,744.8480,1063.0120,3.294694
FILLER_263_1259,VDD,Metal1,735.5600,1062.3200,3.294695
FILLER_263_1243,VDD,Metal1,731.4080,1063.0120,3.294695
FILLER_263_1210,VDD,Metal1,708.1200,1062.3200,3.294696
FILLER_263_1208,VDD,Metal1,707.2800,1062.3200,3.294696
FILLER_263_1192,VDD,Metal1,702.8480,1063.0120,3.294696
FILLER_263_1189,VDD,Metal1,696.3600,1062.3200,3.294696
FILLER_263_1185,VDD,Metal1,695.3400,1062.7525,3.294696
FILLER_263_1176,VDD,Metal1,689.0800,1062.3200,3.294696
FILLER_263_1144,VDD,Metal1,680.5155,1063.0885,3.294696
FILLER_263_1138,VDD,Metal1,667.8000,1062.3200,3.294697
FILLER_263_1119,VDD,Metal1,657.1600,1062.3200,3.294698
FILLER_263_1117,VDD,Metal1,656.3200,1062.3200,3.294698
FILLER_263_1113,VDD,Metal1,655.0200,1062.7525,3.294701
FILLER_263_1106,VDD,Metal1,649.8800,1062.3200,3.294702
FILLER_263_1104,VDD,Metal1,649.0400,1062.3200,3.294702
FILLER_263_1100,VDD,Metal1,647.7400,1062.7525,3.294702
FILLER_263_1084,VDD,Metal1,642.3680,1063.0120,3.294702
FILLER_263_1052,VDD,Metal1,628.9955,1063.0885,3.294703
FILLER_263_1048,VDD,Metal1,617.6800,1062.3200,3.294704
FILLER_263_1040,VDD,Metal1,615.3865,1062.8965,3.294704
FILLER_263_1034,VDD,Metal1,609.8400,1062.3200,3.294704
