net,length_um
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[21\]\[4\],207.5µm
clknet_leaf_76_i_clk,207.5µm
net1842,207.45µm
net4096,207.45µm
net4320,207.45µm
_17164_,207.4µm
net849,207.4µm
net3064,207.4µm
net4061,207.4µm
net4218,207.4µm
net4233,207.4µm
_11175_,207.35µm
net705,207.35µm
net2731,207.35µm
net762,207.3µm
net1288,207.25µm
net3044,207.25µm
_11091_,207.14µm
net2220,206.99µm
_11026_,206.89µm
net520,206.89µm
net1712,206.89µm
net2797,206.89µm
net3373,206.89µm
net3886,206.89µm
net4085,206.89µm
net4153,206.89µm
net3128,206.84µm
net1888,206.79µm
net2323,206.79µm
net3798,206.79µm
net3870,206.79µm
net2343,206.74µm
net2725,206.74µm
clknet_2_1_0_i_clk,206.74µm
net4548,206.74µm
net2316,206.69µm
_01842_,206.61µm
net3818,206.43µm
net3962,206.38µm
net4175,206.38µm
net1403,206.37µm
net1408,206.33µm
net1661,206.33µm
clknet_leaf_8_i_clk,206.33µm
_13015_,206.28µm
net2852,206.23µm
net4110,206.23µm
net669,206.18µm
net1350,206.18µm
net2134,206.18µm
net2237,206.18µm
net3879,206.18µm
net1528,206.15µm
net3424,206.13µm
net1960,206.04µm
net3782,206.02µm
net327,205.87µm
net4313,205.87µm
_01799_,205.82µm
net668,205.77µm
net4250,205.77µm
net787,205.72µm
net1999,205.72µm
net2851,205.72µm
net3794,205.72µm
net1889,205.67µm
net4210,205.67µm
net4195,205.62µm
net2969,205.58µm
net2379,205.57µm
net3290,205.52µm
net3084,205.33µm
net181,205.26µm
net1202,205.21µm
net3965,205.16µm
net1535,205.11µm
net4364,205.11µm
net4540,205.01µm
net3698,204.96µm
net3874,204.75µm
net3988,204.75µm
net1033,204.7µm
net1393,204.6µm
net2315,204.6µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[29\]\[0\],204.55µm
net434,204.55µm
net2742,204.55µm
net1805,204.5µm
net4292,204.5µm
net2100,204.46µm
net2582,204.32µm
net2313,204.19µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[0\]\[6\],204.09µm
net4106,204.09µm
net2606,204.04µm
net2896,204.04µm
_01813_,203.99µm
net1826,203.99µm
net4348,203.99µm
net4368,203.99µm
net4666,203.99µm
net3574,203.94µm
net4486,203.94µm
u_integration_final.integration_inst.command_parser_inst.i_uart_rx_new,203.63µm
net2295,203.63µm
net4127,203.63µm
net1806,203.59µm
net1555,203.53µm
net1987,203.43µm
net4531,203.38µm
net2757,203.33µm
net2791,203.33µm
net4276,203.15µm
net788,203.12µm
net3329,203.06µm
net3883,203.02µm
net1042,202.97µm
net4092,202.97µm
net4176,202.97µm
net3810,202.92µm
net4425,202.92µm
net473,202.87µm
net2682,202.87µm
net4432,202.87µm
net1477,202.82µm
net1622,202.82µm
net2086,202.82µm
net3835,202.77µm
net1804,202.72µm
net2269,202.56µm
net672,202.51µm
net1364,202.51µm
net4152,202.51µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[1\]\[3\],202.47µm
net4000,202.46µm
net4684,202.46µm
net3952,202.41µm
net4659,202.41µm
net1014,202.36µm
net2238,202.36µm
net4473,202.36µm
net1935,202.31µm
net2922,202.26µm
net3306,202.26µm
net3911,202.21µm
net1065,202.2µm
net188,202.13µm
net636,202.1µm
net1005,202µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[25\]\[7\],201.85µm
net126,201.85µm
net1035,201.85µm
net1664,201.85µm
net1893,201.8µm
net3384,201.8µm
net4169,201.8µm
net234,201.7µm
net1489,201.7µm
net3359,201.7µm
net4468,201.7µm
net2611,201.65µm
net4522,201.6µm
net3664,201.57µm
net4305,201.54µm
net428,201.49µm
net603,201.49µm
net2849,201.48µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[27\]\[6\],201.39µm
_01891_,201.34µm
_11200_,201.24µm
net1499,201.24µm
net1780,201.24µm
net1979,201.24µm
net2769,201.24µm
net3213,201.24µm
net3589,201.24µm
_11195_,201.19µm
net1366,201.19µm
net1816,201.19µm
net2165,201.14µm
net2407,201.14µm
net3031,201.14µm
net3669,201.14µm
net3825,201.14µm
net4638,201.14µm
net3105,201.09µm
net4113,201.09µm
net3222,201.08µm
net1428,200.93µm
net3871,200.93µm
clknet_leaf_72_i_clk,200.93µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[20\]\[6\],200.88µm
net2609,200.88µm
net96,200.78µm
net2022,200.78µm
net2227,200.78µm
net3452,200.78µm
net1463,200.73µm
net2854,200.73µm
net3547,200.73µm
net3058,200.68µm
net3593,200.68µm
net4086,200.68µm
net4527,200.68µm
net767,200.63µm
net1760,200.63µm
net3565,200.63µm
net4480,200.63µm
net4570,200.63µm
net116,200.58µm
net1929,200.58µm
net2991,200.58µm
net3408,200.58µm
net1142,200.53µm
net1947,200.53µm
clknet_leaf_73_i_clk,200.32µm
net1016,200.27µm
net2185,200.22µm
net4146,200.22µm
net4259,200.22µm
net727,200.19µm
net1097,200.17µm
net2892,200.17µm
net4062,200.17µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[10\]\[3\],200.12µm
net1304,200.12µm
net1374,200.12µm
net1458,200.12µm
net1822,200.12µm
net3349,200.12µm
net3993,200.12µm
net1433,200.07µm
net2638,200.07µm
net2659,200.07µm
net3381,200.07µm
clknet_leaf_77_i_clk,200.04µm
net1459,200.02µm
net4214,200.02µm
net4359,200.02µm
net706,199.97µm
net3891,199.97µm
net3627,199.92µm
net605,199.81µm
_10873_,199.75µm
net1455,199.71µm
net2077,199.66µm
net2334,199.66µm
clknet_leaf_90_i_clk,199.66µm
net4311,199.66µm
_13040_,199.61µm
net4429,199.61µm
_11035_,199.56µm
net399,199.56µm
net4126,199.56µm
net516,199.51µm
net1154,199.51µm
net1272,199.51µm
net1379,199.51µm
net1506,199.51µm
net1754,199.51µm
net3085,199.51µm
net3842,199.51µm
net4093,199.51µm
net4332,199.51µm
net619,199.46µm
net3264,199.46µm
net113,199.41µm
net1141,199.41µm
net2333,199.41µm
_07478_,199.4µm
net1849,199.36µm
net3370,199.31µm
net731,199.2µm
_08635_,199.15µm
net2074,199.15µm
net2184,199.1µm
clknet_leaf_93_i_clk,199.1µm
net1505,199.05µm
net2152,199.05µm
net4526,199.05µm
net1490,199µm
net2842,199µm
net3041,199µm
net776,198.95µm
u_integration_final.integration_inst.reg_bank_inst.mat_arr\[13\]\[5\],198.9µm
net3350,198.9µm
